Timestamp,Label
2024-05-10 22:11:31.025429,Excellent
2024-05-10 22:11:35.472390,Acceptable
2024-05-10 22:11:36.538526,Excellent
2024-05-10 22:12:24.212826,Acceptable
2024-05-10 22:12:25.102516,Excellent
2024-05-10 22:13:26.278514,Acceptable
2024-05-10 22:13:30.615037,Excellent
2024-05-10 22:14:14.471140,Acceptable
2024-05-10 22:14:15.539257,Excellent
2024-05-10 22:14:36.646973,Acceptable
2024-05-10 22:14:37.403953,Excellent
2024-05-10 22:14:49.907006,Acceptable
2024-05-10 22:14:50.699626,Excellent
2024-05-10 22:15:14.480559,Acceptable
2024-05-10 22:15:16.105094,Excellent
2024-05-10 22:15:37.382044,Acceptable
2024-05-10 22:15:40.362795,Excellent
2024-05-10 22:16:31.506760,Acceptable
2024-05-10 22:16:32.886503,So and So
2024-05-10 22:16:37.655681,Acceptable
2024-05-10 22:16:39.986623,Excellent
2024-05-10 22:16:50.714945,Acceptable
2024-05-10 22:16:54.851542,Excellent
2024-05-10 22:17:20.779842,Acceptable
2024-05-10 22:17:24.529312,So and So
2024-05-10 22:17:26.851266,Acceptable
2024-05-10 22:17:30.688596,So and So
2024-05-10 22:17:32.677064,Acceptable
2024-05-10 22:17:33.931238,Excellent
2024-05-10 22:18:04.886267,Acceptable
2024-05-10 22:18:08.325238,So and So
2024-05-10 22:18:11.327814,Acceptable
2024-05-10 22:18:12.685779,So and So
2024-05-10 22:18:13.657555,Uncomfortable
2024-05-10 22:18:16.148183,So and So
2024-05-10 22:18:17.011871,Acceptable
2024-05-10 22:18:18.086897,Excellent
2024-05-10 22:18:29.714528,Acceptable
2024-05-10 22:18:36.087682,Excellent
2024-05-10 22:18:40.923665,Acceptable
2024-05-10 22:18:42.244307,So and So
2024-05-10 22:18:44.341417,Acceptable
2024-05-10 22:18:51.568515,Excellent
2024-05-10 22:18:55.008683,Acceptable
2024-05-10 22:18:57.746436,Excellent
2024-05-10 22:19:08.045114,Acceptable
2024-05-10 22:19:09.277006,Excellent
2024-05-10 22:21:56.118811,Acceptable
2024-05-10 22:21:58.202425,Excellent
2024-05-10 22:22:13.619238,Acceptable
2024-05-10 22:22:14.900369,Excellent
2024-05-10 22:22:49.065612,Acceptable
2024-05-10 22:22:49.856938,So and So
2024-05-10 22:22:53.454080,Uncomfortable
2024-05-10 22:22:55.665218,So and So
2024-05-10 22:22:56.468584,Acceptable
2024-05-10 22:22:57.799428,Excellent
2024-05-10 22:23:14.102697,Acceptable
2024-05-10 22:23:16.323663,So and So
2024-05-10 22:23:23.219144,Uncomfortable
2024-05-10 22:23:27.406598,So and So
2024-05-10 22:23:30.564486,Acceptable
2024-05-10 22:23:38.788519,Excellent
2024-05-10 22:23:39.715036,Acceptable
2024-05-10 22:23:43.755434,Excellent
2024-05-10 22:24:41.695469,Acceptable
2024-05-10 22:24:46.528170,Excellent
2024-05-10 22:26:39.288253,Acceptable
2024-05-10 22:26:40.890897,Excellent
2024-05-10 22:27:25.174035,Acceptable
2024-05-10 22:27:30.259926,Excellent
2024-05-10 22:28:36.798416,Acceptable
2024-05-10 22:28:38.307846,Excellent
2024-05-10 22:28:47.016251,Acceptable
2024-05-10 22:28:48.643342,Excellent
2024-05-10 22:28:57.971166,Acceptable
2024-05-10 22:29:05.422308,Excellent
2024-05-10 22:29:07.875095,Acceptable
2024-05-10 22:29:13.623316,Excellent
2024-05-10 22:29:39.066487,Acceptable
2024-05-10 22:29:45.394506,Excellent
2024-05-10 22:29:56.893121,So and So
2024-05-10 22:29:57.870807,Excellent
2024-05-10 22:31:19.123455,Acceptable
2024-05-10 22:31:33.192827,So and So
2024-05-10 22:31:38.242462,Uncomfortable
2024-05-10 22:31:42.831758,So and So
2024-05-10 22:31:43.948557,Acceptable
2024-05-10 22:31:47.438973,So and So
2024-05-10 22:31:51.987085,Acceptable
2024-05-10 22:32:47.499203,Acceptable
2024-05-10 22:32:52.083802,Excellent
2024-05-10 22:33:01.439453,Acceptable
2024-05-10 22:33:04.465583,So and So
2024-05-10 22:33:11.013644,Acceptable
2024-05-10 22:33:12.874290,Excellent
2024-05-10 22:33:18.651977,Acceptable
2024-05-10 22:33:21.855064,So and So
2024-05-10 22:33:22.656589,Acceptable
2024-05-10 22:33:31.522735,So and So
2024-05-10 22:33:37.078285,Acceptable
2024-05-10 22:33:45.023787,Excellent
2024-05-10 22:33:51.287427,Acceptable
2024-05-10 22:33:55.166659,So and So
2024-05-10 22:33:57.147057,Uncomfortable
2024-05-10 22:33:57.844595,So and So
2024-05-10 22:33:59.901622,Acceptable
2024-05-10 22:34:01.080699,Excellent
2024-05-10 22:34:13.453635,Acceptable
2024-05-10 22:34:14.793368,Excellent
2024-05-10 22:34:39.183585,Acceptable
2024-05-10 22:34:41.924833,Excellent
2024-05-10 22:35:36.975788,Acceptable
2024-05-10 22:35:43.117094,Excellent
2024-05-10 22:35:50.238322,Acceptable
2024-05-10 22:35:54.194555,Excellent
2024-05-10 22:36:08.040382,Acceptable
2024-05-10 22:36:09.316589,So and So
2024-05-10 22:36:12.094242,Acceptable
2024-05-10 22:36:13.362625,Excellent
2024-05-10 22:36:16.699694,Acceptable
2024-05-10 22:36:17.988366,Excellent
2024-05-10 22:37:17.989183,Acceptable
2024-05-10 22:37:24.048842,Excellent
2024-05-10 22:37:55.067524,Acceptable
2024-05-10 22:37:56.944470,So and So
2024-05-10 22:37:59.369160,Acceptable
2024-05-10 22:38:04.550117,Excellent
2024-05-10 22:38:29.845695,Acceptable
2024-05-10 22:38:36.862582,Excellent
2024-05-10 22:39:07.533941,Acceptable
2024-05-10 22:39:11.300085,So and So
2024-05-10 22:39:15.292162,Acceptable
2024-05-10 22:39:16.795194,Excellent
2024-05-10 22:39:30.814754,Acceptable
2024-05-10 22:39:37.778083,So and So
2024-05-10 22:39:38.971656,Acceptable
2024-05-10 22:39:40.234907,Excellent
2024-05-10 22:40:02.633495,Acceptable
2024-05-10 22:40:03.749537,Excellent
2024-05-10 22:40:09.594902,Acceptable
2024-05-10 22:40:14.678293,Excellent
